,Author,State,closed_at,created_at,issue_number,labels
250,CSP19SCM35G,closed,2019-04-03,2019-04-03,143,"['Address:McDonalds 2525 S King Dr Chicago 60616', 'Latitude:41.847200', 'Longitude:-87.617190', 'OriginationPhase:Requirements', 'Priority:High', 'Status:Approved']"
251,HSP19SCM19M,closed,2019-04-03,2019-04-03,142,"['Address:McDonalds 2525 S King Dr Chicago 60616', 'Category:Bug', 'DetectionPhase:Design', 'Latitude:41.847200', 'Longitude:-87.617190', 'OriginationPhase:Requirements', 'Priority:High', 'Status:pendingReview']"
252,RSP19SCM71C,closed,2019-04-03,2019-04-03,139,"['Address:McDonalds 2525 S King Dr Chicago 60616', 'Category:Bug', 'DetectionPhase:Design', 'Latitude:41.847200', 'Longitude:-87.617190', 'OriginationPhase:Requirements', 'Priority:Medium', 'Status:Approved']"
253,WSP19SCM39H,closed,2019-04-03,2019-04-03,138,"['Address:McDonalds 2525 S King Dr Chicago 60616', 'Category:Bug', 'DetectionPhase:Design', 'Latitude:41.847198', 'Longitude:-87.617190', 'OriginationPhase:Requirements', 'Priority:Medium', 'Status:pendingReview']"
254,ZSP19SCM95D,closed,2019-04-03,2019-04-03,135,"['Address:McDonalds 2525 S King Dr Chicago 60616', 'Category:Bug', 'DetectionPhase:Design', 'Latitude:41.847200', 'Longitude:-87.617190', 'OriginationPhase:Requirements', 'Priority:Medium', 'Status:pendingReview']"
255,JSP19SCM86L,closed,2019-04-03,2019-04-03,132,"['Address:1664 S Blue Island Ave Chicago IL 60608', 'Category:Bug', 'DetectionPhase:Design', 'Latitude:41.858450', 'Longitude:-87.660900', 'OriginationPhase:Design', 'Priority:High', 'Status:inProgress']"
256,PSP19SCM38K,closed,2019-04-03,2019-04-03,131,"['Address:2301 S Lake Shore Dr Chicago IL 60616', 'Category:Bug', 'DetectionPhase:Design', 'Latitude:41.851200', 'Longitude:-87.617767', 'OriginationPhase:Requirements', 'Priority:Medium', 'Status:Approved']"
257,MSP19SCM07P,closed,2019-04-03,2019-04-03,130,"['Address:2301 S Lake Shore Dr Chicago IL 60616', 'Category:Bug', 'DetectionPhase:Design', 'Latitude:41.851200', 'Longitude:-87.617767', 'OriginationPhase:Requirements', 'Priority:Medium', 'Status:pendingReview']"
258,rdhande,closed,2019-04-03,2019-04-02,127,"['Address:119 N Wabash Ave Chicago IL 60602', 'Category:Bug', 'DetectionPhase:Design', 'Latitude:41.885869', 'Longitude:-87.630804', 'OriginationPhase:Requirements', 'Priority:High', 'Status:pendingReview']"
259,MSP19SCM00A,closed,2019-04-02,2019-04-02,126,"['Address:McDonalds 2525 S King Dr Chicago 60616', 'Category:Bug', 'DetectionPhase:Design', 'Latitude:41.847200', 'Longitude:-87.617190', 'OriginationPhase:Requirements', 'Priority:High', 'Status:inProgress']"
260,ASP19SCM71S,closed,2019-04-02,2019-04-02,122,"['Address:McDonalds 2525 S King Dr Chicago 60616', 'Category:Bug', 'DetectionPhase:Design', 'Latitude:41.847200', 'Longitude:-87.617190', 'OriginationPhase:Design', 'Priority:High', 'Status:Approved']"
261,YSP19SCM81M,closed,2019-04-02,2019-04-02,120,"['Address:McDonalds 2525 S King Dr Chicago 60616', 'Category:Bug', 'DetectionPhase:Design', 'Latitude:41.891521', 'Longitude:-87.622223', 'OriginationPhase:Requirements', 'Priority:High', 'Status:Approved']"
262,ASP19SCM57V,closed,2019-04-02,2019-04-02,115,"['Address:McDonalds 2525 S King Dr Chicago 60616', 'Category:Bug', 'DetectionPhase:Design', 'Latitude:41.847198', 'Longitude:-87.633531', 'OriginationPhase:Requirements', 'Priority:High', 'Status:Approved']"
263,PSP19SCM07S,closed,2019-04-02,2019-04-02,114,"['Address:McDonalds 2525 S King Dr Chicago 60616', 'Category:Bug', 'DetectionPhase:Design', 'Latitude:41.847198', 'Longitude:-87.633531', 'OriginationPhase:Requirements', 'Priority:High', 'Status:Approved']"
264,RSP19SCM781,closed,2019-04-09,2019-04-02,113,"['Category:Enhancement', 'DetectionPhase:Design', 'OriginationPhase:Coding', 'Priority:High', 'Status:inProgress']"
265,RSP19SCM781,closed,2019-04-08,2019-04-02,112,"['Category:Bug', 'DetectionPhase:Coding', 'OriginationPhase:Coding', 'Priority:Low', 'Status:Rejected']"
266,TSP19SCM781,closed,2019-04-10,2019-04-02,111,"['Category:Bug', 'DetectionPhase:Design', 'OriginationPhase:Field', 'Priority:Low', 'Status:pendingReview']"
267,TSP19SCM781,closed,2019-04-07,2019-04-02,110,"['Category:Bug', 'DetectionPhase:Design', 'OriginationPhase:Requirements', 'Priority:Medium', 'Status:Approved']"
